"plot_id";"PM_LEAF_PC";"bbch_stage";"observation_date"
"1C";4;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";3;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";3;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";6;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";3;"BBCH 69";"2024-06-05"
"1C";16;"BBCH 69";"2024-06-05"
"1C";10;"BBCH 69";"2024-06-05"
"1C";8;"BBCH 69";"2024-06-05"
"1C";8;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";3;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";5;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";5;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";4;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";3;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";2;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";6;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"1D";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";3;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";4;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";3;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";4;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";4;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";5;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";3;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";3;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2A";5;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";1;"BBCH 69";"2024-06-05"
"2A";7;"BBCH 69";"2024-06-05"
"2A";2;"BBCH 69";"2024-06-05"
"2B";6;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";3;"BBCH 69";"2024-06-05"
"2B";2;"BBCH 69";"2024-06-05"
"2B";1;"BBCH 69";"2024-06-05"
